source,file,line,match
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,576,"    resolution: {integrity: sha512-Jt0vHyM+jmUBqojB7E1NIYadt0vI0Qxjxd2TErW94wDz+E2LAm5vKMXXwg6ZZBTHPuUlDgQHKXvjGBdfcF1ZDQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,626,"    resolution: {integrity: sha512-1rXeuUUiGGrykh+CeBdu5Ie7OJwinCgQY0bc7GCRxy5xVHy+moaqkpL/jqQq0MtQOeYcrqEz4abc5f0KtU7W4A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,658,"    resolution: {integrity: sha512-bC7ElrdJaJnPbAP+1EotYvqZsb3ecl5wi6Bfi6BJTUcNowp6cvspg0jXznRTKDjm/E7AdgFBVeAPVMNcKGsHMA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,666,"    resolution: {integrity: sha512-KcKCqiftBJcZr++7ykoDIEwSa3XWowTfNPo92BYxjXiyYEVrUQh2aLyhxBCwww+heortUFxEJYcRzosstTEBYQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,690,"    resolution: {integrity: sha512-58lmxKSA4BNyLz+HHMUzlOEpg09FV+ev6ZMe3vJihgdxzgcwZ8VoEEPmALCZG9LmqfVoNMMKpttIYTVG6uDY7A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,757,"    resolution: {integrity: sha512-Uhdk5sfqcee/9H/rCOJikYz67o0a2Tw2hGRPOG2Y1R2dg7brRe1uG0yaNQDHu+TO/uQPF/5eCapvYSmHUjt7JQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,777,"    resolution: {integrity: sha512-j6PAQ2uUr79PZhBjP5C5fhl8e39FmRnOjsD5lGnWrFU8i2G776tBK7+nP8KuQUTTyAZUwfQqXAgrVH5MbH9CYQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,809,"    resolution: {integrity: sha512-f3qQ9oQy9j2AhBe/H9VC91wLmKBCCU/gDOnKNAYG5hswO7BLKj09Hc5HYNz9cGI++xlpDCIgDaitVs03ATR84Q==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,872,"    resolution: {integrity: sha512-7XHNxH7qX9xG5mIwxkhumTox/MIRNcOgDrxWsMt2pAr23WHp6MrRlN7FBSFpCpr+oVO0F744iUgR82nJMfG2SA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,875,"    resolution: {integrity: sha512-9fSjSaos/fRIVIp+xSJlE6lfwhES7LNtKaCBIamHsjr2na1BiABJPo0mOjjz8GJDURarmCPGqaiVg5mfjb98CQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,891,"    resolution: {integrity: sha512-nFR0zLpU2YCaRxwoCJvL6UvCH2JFyFVIvwTLsIf21AuHlMskA1hhTdk+LlYJtOlYt9v6dvszD2BGRqBL+iQK9Q==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,914,"    resolution: {integrity: sha512-EykJT/Q1KjTWctppgIAgfSO0tKVuZUjhgMr17kqTumMl6Afv3EISleU7qZUzoXDFTAHTDC4NOoG/ZxU3EvlMPQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,922,"    resolution: {integrity: sha512-0hJU9SCPvmMzIBdZFqNPXWa6dqh7WdH0cII9y+CyS8rG3nL48Bclra9HmKhVVUHyPWNH5Y7xDwAB7bfgSjkUMQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,926,"    resolution: {integrity: sha512-FtwrG/euBzaEjYeRqOgly7G0qviiXoJWnvEH2Z1plBdXgbyjv34pHTSb9zoeHMyDy33+DWy5Wt9Wo+TURtOYSQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,942,"    resolution: {integrity: sha512-JmXMZ6wuvDmLiHEml9ykzqO6lwFbof0GG4IkcGaENdCRDDmMVnny7s5HsIgHCbaq0w2MyPhDqkhTUgS2LU2PHA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,946,"    resolution: {integrity: sha512-k92I/b08q4wvFscXCLvqfsHCrjrF7yiXsQuIVvVE7N82W3+aqpzuUdBbfhWcy/FZR3/4IgflMgKLOsvPDrGCJA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,987,"    resolution: {integrity: sha512-RdJUflcE3cUzKiMqQgsCu06FPu9UdIJO0beYbPhHN4k6apgJtifcoCtT9bcxOpYBtpD2kCM6Sbzg4CausW/PKQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1006,"    resolution: {integrity: sha512-+bT2uH4E5LGE7h/n3evcS/sQlJXCpIp6ym8OWJ5eV6+67Dsql/LaaT7qJBAt2rzfoa/5QBGBhxDix1dMt2kQKQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1017,"    resolution: {integrity: sha512-lyuxPGr/Wfhrlem2CL/UcnUc1zcqKAImBDzukY7Y5F/yQiNdko6+fRLevlw1HgMySw7f611UIY408EtxRSoK3Q==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1043,"    resolution: {integrity: sha512-PXwfBhYu0hBCPw8Dn0E+WDYb7af3dSLVWKi3HGv84IdF4TyFoC0ysxFd0Goxw7nSv4T/PzEJQxsYsEiFCKo2BA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1075,"    resolution: {integrity: sha512-Tpp60P6IUJDTuOq/5Z8cdskzJujfwqfOTkrwIwj7IRISpnkJnT6SyJ4PCPnGMoFjC9ddhal5KVIYtAt97ix05A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1133,"    resolution: {integrity: sha512-TYOanM3wGwNGsZN2cVTYPArw454xnXj5qmWF1bEoAc4+cU/ol7GVh7odevjp1FNHduHc3KZMcFduxU5Xc6uJRQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1157,"    resolution: {integrity: sha512-ojmeN0qd+y0jszEtoY48r0Peq5dwMEkIlCOu6Q5f41lfkswXuKtYrhgoTpLnyIcHm24Uhqx+5Tqm2InSwLhE6Q==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1171,"    resolution: {integrity: sha512-xceH2snhtb5M9liqDsmEw56le376mTZkEX/jEb/RxNFyegNul7eNslCXP9FDj/Lcu0X8KEyMceP2ntpaHrDEVA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1174,"    resolution: {integrity: sha512-JU3teHTNjmE2VCGFzuY8EXzCDVwEqB2a8fsIvwaStHhAWJEeVd1o1QD80CU6+ZdEXXSLbSsuLwJjkCBWqRQUVA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1198,"    resolution: {integrity: sha512-NuaNSa6flKT5JaSYQzJok04JzTL1CA6aGhv5rfLW3PgqA+M2ChpZQnAC8h8i4ZFkBS8X5RqkDBHA7r4hej3K9A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1240,"    resolution: {integrity: sha512-JZkJMZkAGFFPP2YqXZXPbMlMBgsxzE8ILs4lMIX/2o0L9UBw9O/Y3o6wFw/i9YLapcUJWwqbi3kdxIPdC62TIA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1245,"    resolution: {integrity: sha512-5l4VyZR86LZ/lDxZTR6jqL8AFE2S0IFLMP26AbjsLVADxHdhB/c0GUsH+y39UfCi3dzz8OlQuPmnaJOMoDHQBA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1248,"    resolution: {integrity: sha512-rp3So07KcdmmKbGvgaNxQSJr7bGVSVk5S9Eq1F+ppbRo70+YeaDxkw5Dd8NPN+GD6bjnYm2VuPuCXmpuYvmCXQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1289,"    resolution: {integrity: sha512-VCjCNfgMsby3tTdo02nbjtM/ewra6jPHmpThenkTYh8pG9ucZ/1P8So4u4FGBek/BjpOVsDCMoLA/iuBKIFXRA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1323,"    resolution: {integrity: sha512-Y38VPSHcqkFrCpFnQ9vuSXmquuv5oXOKpGeT6aGrr3o3Gc9AlVa6JBfUSOCnbxGGZF+/0ooI7KrPuUSztUdU5A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1331,"    resolution: {integrity: sha512-4gB8na07fecVVkOI6Rs4e7T6NOTki5EmL7TUduTs6bu3EdnSycntVJ4re8kgZA+wx9IueI2Y11bfbgwtzuE0KQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1339,"    resolution: {integrity: sha512-qSVyDTeMotdvQYoHWLNGwRFJHC+i+ZvdBRYosOFgC+Wg1vx4frN2/RG/NA7SYqqvKNLf39P2LSRA2pu6n0XYZA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1367,"    resolution: {integrity: sha512-o5sSPKEkg/DIQNmH43V0/uerLrpzVedkUh8tGNvaeXpfpuwjKenlSox/2O/BTlZUtEe+JG7s5YhEz608PlAHRA==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1371,"    resolution: {integrity: sha512-L0Orpi8qGpRG//Nd+H90vFB+3iHnue1zSSGmNOOCh1GLJ7rUKVwV2HvijphGQS2UmhUZewS9VgvxYIdgr+fG1A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1416,"    resolution: {integrity: sha512-Ne+eE4r0/iWnpAxD852z3A+N0Bt5RN//NjJwRd2VFHEmrywxf5vsZlh4R6lixl6B+wz/8d+maTSAkN1FIkI3LQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1424,"    resolution: {integrity: sha512-CWBzXQrc/qOkhidw1OzBTQuYRbfyxDXJMVJ1XNwUHGROVmuaeiEm3OslpZ1RV96d7SKKjZKrSJu3+t/xlw3R9A==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1429,"    resolution: {integrity: sha512-iwDZqg0QAGrg9Rav5H4n0M64c3mkR59cJ6wQp+7C4nI0gsmExaedaYLNO44eT4AtBBwjbTiGPMlt2Md0T9H9JQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1465,"    resolution: {integrity: sha512-LKYU1iAXJXUgAXn9URjiu+MWhyUXHsvfp7mcuYm9dSUKK0/CjtrUwFAxD82/mCWbtLsGjFIad0wIsod4zrTAEQ==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1469,"    resolution: {integrity: sha512-Ux4ygGWsu2c7isFWe8Yu1YluJmqVhxqK2cLXNQA5AcC3QfbGNpM7fu0Y8b/z16pXLnFxZYvWhd3fhBY9DLmC6Q==}"
code,/Users/jamalnr/Projects/crive-monorepo/pnpm-lock.yaml,1473,"    resolution: {integrity: sha512-rVksvsnNCdJ/ohGc6xgPwyN8eheCxsiLM8mxuE/t/mOVqJewPuO1miLpTHQiRgTKCLexL4MeAFVagts7HmNZ2Q==}"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/src/index.ts,5,"const PORT = Number(process.env.PORT || 4000);"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/src/index.ts,6,"const HOST = process.env.HOST || ""0.0.0.0"";"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/src/index.ts,21,"  console.log(`API listening at http://${HOST}:${PORT}`);"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/Dockerfile,4,"ENV NEXT_TELEMETRY_DISABLED=1"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/Dockerfile,5,"ENV COREPACK_ENABLE_DOWNLOAD_PROMPT=0"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/Dockerfile,21,"ENV NODE_ENV=production"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/src/index.mjs,5,"const PORT = Number(process.env.PORT || 4000);"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/src/index.mjs,6,"const HOST = process.env.HOST || ""0.0.0.0"";"
code,/Users/jamalnr/Projects/crive-monorepo/apps/api/src/index.mjs,15,"  console.log(`[API] listening on http://${HOST}:${PORT}`);"
code,/Users/jamalnr/Projects/crive-monorepo/scripts/scan-env.sh,4,"ROOT=""${1:-$(pwd)}"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/scan-env.sh,5,"OUT_DIR=""$ROOT/docs"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/scan-env.sh,6,"RAW=""$OUT_DIR/env_scan_raw.csv"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/scan-env.sh,18,"| gawk -F: 'BEGIN{OFS="",""} {file=$1; line=$2; sub(/^[^:]+:[0-9]+:/,""""); code=$0; src=""code""; gsub(/""/,""\""\"""",code); print src,file,line,""\"""" code ""\""""}' \"
code,/Users/jamalnr/Projects/crive-monorepo/apps/admin/app/page.tsx,7,"      <p>API: {process.env.NEXT_PUBLIC_API_URL}</p>"
code,/Users/jamalnr/Projects/crive-monorepo/apps/admin/Dockerfile,4,"ENV NEXT_TELEMETRY_DISABLED=1"
code,/Users/jamalnr/Projects/crive-monorepo/apps/admin/Dockerfile,5,"ENV COREPACK_ENABLE_DOWNLOAD_PROMPT=0"
code,/Users/jamalnr/Projects/crive-monorepo/apps/admin/Dockerfile,21,"ENV NODE_ENV=production"
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,4,"ROOT=""$(pwd)"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,5,"REPORT=""/tmp/trivy-node.json"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,6,"OVR=""/tmp/pnpm-overrides.json"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,21,"  TOTAL=$(jq '[ .Results[]? | .Vulnerabilities[]? | select(.Severity==""HIGH"" or .Severity==""CRITICAL"") ] | length' ""$REPORT"")"
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,68,"LEFT=$(trivy fs -f json --scanners vuln --severity HIGH,CRITICAL --ignore-unfixed=false . \"
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,81,"        | ""\(.PkgName)@\(.InstalledVersion)  CVE=\(.VulnerabilityID)"""
code,/Users/jamalnr/Projects/crive-monorepo/scripts/trivy-zero-high.sh,86,"    PKG=""${line%@*}"""
